id,title,description,status,priority,assignee,due_date,sort_order,project_id
95172498-66f6-4b25-9170-2f8069d11794,Sigmoid Gmail Connection,"1. oauth redirect URI change
2. test connection with Latika
3. Email with Gokul to connect his gmail",in_progress,medium,91ee5034-c708-43b5-b698-47fd82bc3f10,,1783078624.239,b7eee4f9-f929-4989-bebd-3aefd7b0db01
ac100890-bf69-4d0c-aa03-e57e93b6af4e,Hiring Partner Update,,in_progress,medium,91ee5034-c708-43b5-b698-47fd82bc3f10,,1783078511.987,37b86f40-ed36-4a80-91ce-ddd6f16c148a
1e511ad1-51d2-4dd2-8055-8128e803eb20,Call with top 25,,todo,medium,91ee5034-c708-43b5-b698-47fd82bc3f10,,1783078491.762,37b86f40-ed36-4a80-91ce-ddd6f16c148a
96e2683b-bc5a-4902-b228-2ce1cfdb3539,Juding round 2 - manual,,todo,medium,91ee5034-c708-43b5-b698-47fd82bc3f10,,1783078476.279,37b86f40-ed36-4a80-91ce-ddd6f16c148a
c5c46920-ad0f-45d4-83b3-ea0d524f13d0,Judging round 1 with Claude,,in_progress,medium,91ee5034-c708-43b5-b698-47fd82bc3f10,,1783078463.52,37b86f40-ed36-4a80-91ce-ddd6f16c148a
642f727b-b01a-4cd8-b567-08c46e5222ab,test,,in_progress,medium,,,1782560914.308,
8cb7a692-cb6a-463e-ad55-45152987399f,Discord group rules banana,"Community ke liye Discord server ke group rules draft karne hain (onboarding, channels, moderation, posting guidelines).",todo,medium,ayush@gappy.ai,2026-07-01,0.0,
f1cf0aeb-26de-4f86-8d89-78ab2ddf2558,Unstop: SDK Github link with video + event details,,done,medium,91ee5034-c708-43b5-b698-47fd82bc3f10,,1782208279.149,37b86f40-ed36-4a80-91ce-ddd6f16c148a
78f2b05a-25dc-4cf9-9f70-25ce5581c4ec,IIT B Email,,done,medium,91ee5034-c708-43b5-b698-47fd82bc3f10,,1782104555.552,
536a61f1-b7e5-45e2-b501-6d2c76094844,Unstop: Follow-up email + new registrants email,,done,medium,91ee5034-c708-43b5-b698-47fd82bc3f10,2026-06-22,1781764973.469,37b86f40-ed36-4a80-91ce-ddd6f16c148a
ded2afd6-84e1-4f58-aa2a-b70e878244d0,Improve and Redesign Typescript SDK to prepare for public release,"- ensure new sdk has general cleaner desing and easy to understand api. 
- Provide hooks to do assistant chat, workflow UI, agent running view easily if possible as these are most used. 
- Allow using js version for html deks and widget",done,medium,9452add2-8d96-4ce3-95fc-f05fc6128f39,,1781693383.81,013e545a-d3a0-4117-b404-e6ac63a49187
8fcad7b8-27c9-4613-a370-74aeb2950da3,Content Manager POD: Phase 9 - Telegram Capture.,"Goal: add the first external capture surface after desk capture is stable.
What it adds:

Telegram inbound capture
Route Telegram messages into capture_idea
Store captured ideas with source = telegram
Show Telegram source on Board
Add capture channel status in Settings
Seed Telegram-style payloads and at least one Telegram-sourced idea locally",todo,medium,,,1781509959.588,
43dc4242-d406-4097-8507-0cb843809e90,Content Engine Finalise,"Content engine gives claude context to operate and assist in the content narrative process
- Project briefs
- refine styles",in_progress,medium,,,1781509824.309,
aa474c3b-bd7a-4920-87dd-ea7f5a842a74,LEDFlex Pod test,Test whether the redesign by Anukul works or not,todo,urgent,,,1781509734.428,
2679ac06-0f62-4ac7-a16a-46669a46d3cb,Commitment Manager: people and profile tab,"Redesign
Add good screen to show synced contacts -",todo,medium,,,1781509700.729,cd1a187a-1483-4488-b801-ce49143f2756
ec35c834-2393-41cf-bcf4-d752a01f22e6,Validate Universal Fit: content pod,"Review the updated experience from the perspective of different users, such as a lifestyle brand, service business, creator, and tech product, to ensure nothing implies the pod is only for founder-led or tech-product content.
Simulate one user journey for content.",todo,medium,,,0.0,cd1a187a-1483-4488-b801-ce49143f2756
d810f96d-34dd-4c30-b7fa-a9b7c3057f5b,Preserve Demo Story Without Narrowing the Product,"Keep the simulated data centered on the founder use case so the demo still tells the current story, but make sure it is presented as one example rather than the default audience for the pod.",todo,medium,,,0.0,cd1a187a-1483-4488-b801-ce49143f2756
d184309d-030d-4872-959c-54cd81dffcde,Reorganize Content Inputs,"Review how content-influencing inputs are grouped, especially in Settings. Make sections like claims, blocked claims, proof points, audience context, voice, and content pillars feel applicable to any brand or content operation.",todo,medium,,,0.0,cd1a187a-1483-4488-b801-ce49143f2756
feb33349-73c1-482a-8e6f-621e2beaafb5,Generalize Product Positioning,"Update the pod’s language so it is positioned as a universal content management system for brands, creators, services, communities, and products, rather than something designed specifically for founders or tech products.",todo,medium,,,0.0,cd1a187a-1483-4488-b801-ce49143f2756
4a4a7ff5-3740-4b76-9f11-667d2f35d5ea,"Demo Data, QA & Acceptance Criteria",,done,medium,,,1781506869.563,cd1a187a-1483-4488-b801-ce49143f2756
c3aa49f2-b16f-4765-b046-233f24a72eb3,Foxo Research Pod,,in_progress,medium,91ee5034-c708-43b5-b698-47fd82bc3f10,,1781499640.692,
2e68b08a-8a53-4fe7-a993-5fd4218da401,Email surface behavior & filtering design,"Design and implement proper behavior for email surfaces, with attention to filtering (e.g. subject/label/from-address based rules). Without solid filtering, setting up surfaces becomes painful. Decide filter model, default behavior, and edge cases before enabling surface setup for the team.",todo,medium,12ef6f67-b6bf-40c8-878b-c0adf7a56839,,0.0,013e545a-d3a0-4117-b404-e6ac63a49187
193a8738-f806-4eae-8fac-ef20124a2284,Frontend: Org home page (/org/org-name),"Support an org page in the frontend with format /org/org-name semantics. This will be the home page of an org and should show all pods accessible to the current user, plus any other relevant org info.",todo,medium,12ef6f67-b6bf-40c8-878b-c0adf7a56839,,0.0,
3420180c-9adf-47bd-8a06-f867de993ae0,Hackathon update to hiring partners,share email on hackathon update to hiring partners,done,medium,91ee5034-c708-43b5-b698-47fd82bc3f10,2026-06-15,1781337595.549,37b86f40-ed36-4a80-91ce-ddd6f16c148a
